,fid,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이,sum,LUM
877,1401,778.5396953457239,1775.1727746777872,211.7543542064113,66.47387969261015,1.5,7490,284.91903835536203,16368.86,0.8076438082592411
878,1402,694.6074351981,1675.8728658386374,287.0136067845384,102.33947107829584,1.5,7490,163.66986368187798,6059.219999999999,0.060995064785859206
879,1403,615.4952940380919,1576.6613092409214,374.0498082006463,116.79145778609475,1.5,7490,80.3335916747888,8636.494999999999,0.09377964881725892
880,1404,543.3129494871737,1477.5559024203385,466.3145420527409,69.85663599229875,1.5,7490,172.51879609377,4371.045,0.21901013018366014
881,1405,481.18915337013925,1378.579538727729,561.2350575528727,126.96140274071838,2.5,7490,157.693436968762,5369.4,0.3314499282434021
882,1406,433.4703885008611,1279.762158967507,657.6624302063505,217.6189081704836,4.0,7490,324.422599537821,52057.7751,0.0
883,1407,405.2773004233848,1181.1436667748071,755.0195354827997,219.77839358076312,6.0,7490,333.599836831561,28278.063,0.0
884,1408,400.7522163546524,1082.7784070167552,852.9880833878306,152.67545030647517,5.0,10315,449.480314942649,11609.38,0.035357341964086526
885,1409,420.6596293121024,984.7422682846612,951.3792022226625,110.97788815306,5.25,11245,501.207189311445,23447.045000000002,0.08080956741623974
886,1410,461.8508901084643,887.144368354641,1050.0741150118354,146.02030918026716,6.5,11245,400.80113306707705,22507.6,0.19048903304838338
887,1411,519.285568645015,790.1471158959456,1050.4741981619743,185.54485957041717,5.0,11245,293.005616462198,13430.4,0.31147090091116175
888,1412,588.2246977592511,694.002405129871,963.4546156598273,143.12059038289746,3.0,11245,563.918781208867,5959.7300000000005,0.3237691139969841
889,1413,665.1004619210584,599.1208150253597,879.2002539532497,162.90996336704475,2.0,2825,510.2545470773581,11041.645,0.0
890,1414,747.4680528193927,506.2131001597476,798.5868214273614,229.33676816059688,2.25,2825,291.200494513853,5953.75,0.16607849599414087
891,1415,782.0262595754642,416.6019606938899,722.833501471767,177.2157333329028,2.5,11245,383.929861358599,10338.8,0.4346809301048657
892,1416,703.5409987644879,332.95979282688285,653.6322857914029,81.91962754326593,2.5,8420,350.43287006021006,14778.355,0.44654254242925007
893,1417,631.1690361946955,261.087710801622,593.2803670270747,35.01799907493109,2.0,8420,102.009778974883,33607.88,0.06197248565948151
894,1418,567.2550718908616,213.2390698920363,544.7270485817909,125.46408933273656,2.5,8420,0.0,22343.96,0.0
895,1419,514.9580856305165,206.82008661985904,511.3443611714709,222.8984873309901,2.6666666666666696,23398,0.0,15830.17,0.0
